comment,label,comment_length,comment_cleaned
روال همیشگی من: پنیر و زیتون جدا می‌کنم و باقی سالاد رو می‌خورم (چون مزه خوبی ندارند) سس بسیار خوشمزه س و تنها دلیل سفارش این سالاد هست. هزینه اسنپ با وجود کم بودن مسیر خیلی عجیبه برام: (,1,187,روال همیشگی من پنیر و زیتون جدا میکنم و باقی سالاد رو میخورم چون مزه خوبی ندارند سس بسیار خوشمزه س و تنها دلیل سفارش این سالاد هست هزینه اسنپ با وجود کم بودن مسیر خیلی عجیبه برام
پیتزا بسیار سرد بود و به هم ریخته به من تحویل دادن از کیفیت خوبی هم برخوردار نبود.,0,82,پیتزا بسیار سرد بود و به هم ریخته به من تحویل دادن از کیفیت خوبی هم برخوردار نبود
طبق معمول موارد اخیر برای قارچ سوخاری هیچ سسی نذاشته بودن. نه سس سیر که سس سبز …. هیچ,1,85,طبق معمول موارد اخیر برای قارچ سوخاری هیچ سسی نذاشته بودن نه سس سیر که سس سبز  هیچ
اسمش پیتزا استیک و سیر بود. استیک داشت ولی سیر نداشت. کیفیتش متوسط بود و قیمتش در مقایسه با کیفیتش بالا.,1,104,اسمش پیتزا استیک و سیر بود استیک داشت ولی سیر نداشت کیفیتش متوسط بود و قیمتش در مقایسه با کیفیتش بالا
کیفیت کوک واقعا خراب‌شده. من از طرفداراش بودم. ولی تو چند ماه اخیر تمام کیک‌ها و شیرینی‌هایی که تهیه کردم واقعا کیفیت بدی داشتن.,0,128,کیفیت کوک واقعا خرابشده من از طرفداراش بودم ولی تو چند ماه اخیر تمام کیکها و شیرینیهایی که تهیه کردم واقعا کیفیت بدی داشتن
بعد از ۱ - ۵ ساعت رسید و سرد,1,28,بعد از    ساعت رسید و سرد
نان‌ها همگی تازه بودن و به موقع رسیدن. نان سیمیت و گاتا عالی بودن. همچنین ممنونم از خدمات اسنپ بابت پیگیری‌هایی که میکنن.,1,121,نانها همگی تازه بودن و به موقع رسیدن نان سیمیت و گاتا عالی بودن همچنین ممنونم از خدمات اسنپ بابت پیگیریهایی که میکنن
تمامه مخلفات دورش خوب بود، ولی طعم خود برگر افتضاح بود!!!,0,57,تمامه مخلفات دورش خوب بود ولی طعم خود برگر افتضاح بود
دوغ ارسالی یک عدد بود ولی دو عدد حساب‌شده,1,41,دوغ ارسالی یک عدد بود ولی دو عدد حسابشده
خوب بود. نون تازه و دیزی خوشمزه و پک کامل. به موقع هم رسید. دمشون گرم.,1,70,خوب بود نون تازه و دیزی خوشمزه و پک کامل به موقع هم رسید دمشون گرم
کم بود سیر نشدم,0,15,کم بود سیر نشدم
ساندویچ نونش خمیر شده بود. له‌شده بود اصلا خوب بسته بندی نشده بود,0,65,ساندویچ نونش خمیر شده بود لهشده بود اصلا خوب بسته بندی نشده بود
واقعا نانوایی خوبی هستید موفق باشید,1,35,واقعا نانوایی خوبی هستید موفق باشید
توی این فروشگاه جنس‌هایی پیدا کردم که توی ۳ فروشگاه زنجیره‌ای مختلف پیدا نکردم. عالی,1,84,توی این فروشگاه جنسهایی پیدا کردم که توی  فروشگاه زنجیرهای مختلف پیدا نکردم عالی
خیلی عالی. هدیه هم حرف نداشت,1,28,خیلی عالی هدیه هم حرف نداشت
نان خامه‌ای خیلی تازه و خوشمزه بود رولت مالاگانوتلا هم خیلیی تازه و خوشمزه بود خسته نباشید واقعا,1,96,نان خامهای خیلی تازه و خوشمزه بود رولت مالاگانوتلا هم خیلیی تازه و خوشمزه بود خسته نباشید واقعا
هر ۴ نفر که پیتزاها رو خوردیم دل‌درد گرفتیم واقعا کیفیت پیتزای پرپروک خیلی اومده پایین,0,86,هر  نفر که پیتزاها رو خوردیم دلدرد گرفتیم واقعا کیفیت پیتزای پرپروک خیلی اومده پایین
خوب بود و خوشمزه کاملا راضی هستم. متشکرم,1,40,خوب بود و خوشمزه کاملا راضی هستم متشکرم
ممنون از پسر خوب، یه پیشنهاد: برای همبرگرهای دوبل، اجازه بدید همبرگرها بیشتر بپزه یا سرخ بشه. پنیر پیتزارو وسط دوتا همبرگ بزارید و نه روی اولی. اینجوری هم طعم ضحم گوشت احساس نمیشه و هم خوشمزه‌تر میشه. متشکرم.,1,208,ممنون از پسر خوب یه پیشنهاد برای همبرگرهای دوبل اجازه بدید همبرگرها بیشتر بپزه یا سرخ بشه پنیر پیتزارو وسط دوتا همبرگ بزارید و نه روی اولی اینجوری هم طعم ضحم گوشت احساس نمیشه و هم خوشمزهتر میشه متشکرم
فقط کیک بستنی مارک دومینو سفارش دادم میهن اومده بود,1,51,فقط کیک بستنی مارک دومینو سفارش دادم میهن اومده بود
چلو جوجه عالی بود، اما آش فوق‌العاده شور و چرب بود,0,50,چلو جوجه عالی بود اما آش فوقالعاده شور و چرب بود
راضی بودم اما درخواست سس سیر کرده بودم ولی ارسال نشد,1,52,راضی بودم اما درخواست سس سیر کرده بودم ولی ارسال نشد
سیب‌زمینی خیلی خوب بود ولی پیتزا اصلا، انگار فقط رویش برشته شده بود و خمیرش کامل نپخته بود، فکر می‌کنم آخرین سفارشم ازین رستوران بود,0,132,سیبزمینی خیلی خوب بود ولی پیتزا اصلا انگار فقط رویش برشته شده بود و خمیرش کامل نپخته بود فکر میکنم آخرین سفارشم ازین رستوران بود
سلام و ممنون قاشق و چنگال نگذاشته بودند. نوشیدنی‌ها کاملا متفاوت با سفارش ما بود. جوجه کباب‌ها سوخته بود,0,104,سلام و ممنون قاشق و چنگال نگذاشته بودند نوشیدنیها کاملا متفاوت با سفارش ما بود جوجه کبابها سوخته بود
چیپس و پنیر پر از سس کچاپ بود کیفیت قارچ سوخاری افتضاح بود پیتزاها از مواد نامرغوب تهیه‌شده بود هات داگ اصلا خوشمزه نبود,0,120,چیپس و پنیر پر از سس کچاپ بود کیفیت قارچ سوخاری افتضاح بود پیتزاها از مواد نامرغوب تهیهشده بود هات داگ اصلا خوشمزه نبود
خوب ولی سرد بود,1,15,خوب ولی سرد بود
بموقع بدستم رسید کیفیت شیرینی خوب بود ولی ترجیح می‌دادم تنوع هم داشته باشه,0,74,بموقع بدستم رسید کیفیت شیرینی خوب بود ولی ترجیح میدادم تنوع هم داشته باشه
پیتزا اصلا پنیر نداشت خیلی هم نازک بود,0,38,پیتزا اصلا پنیر نداشت خیلی هم نازک بود
عالی، علت اینکه نظر منفی میدن رو نمی‌فهمم نسبت به قیمت حجم و کیفیت خیلی خوبه ما همیشه راضی بودیم,1,96,عالی علت اینکه نظر منفی میدن رو نمیفهمم نسبت به قیمت حجم و کیفیت خیلی خوبه ما همیشه راضی بودیم
قیمت که می‌ره بالا دو تا حالت داره یا کیفیت می‌ره بالا یا دلار می‌ره بالا! ما حالت سوم هم می‌ذاریم که هیچکدوم نمی‌ره بالا.. خب؟ پس چرا سفارش امروز ما قیمتش صعود و کیفیتش نزول پیدا کرده بود؟,0,189,قیمت که میره بالا دو تا حالت داره یا کیفیت میره بالا یا دلار میره بالا ما حالت سوم هم میذاریم که هیچکدوم نمیره بالا خب پس چرا سفارش امروز ما قیمتش صعود و کیفیتش نزول پیدا کرده بود
نان خیلی خوب بود امیدوارم که کیفیتتان به همین شکل بماند ممنون از شما عزیزان,1,75,نان خیلی خوب بود امیدوارم که کیفیتتان به همین شکل بماند ممنون از شما عزیزان
خواسته بودیم هر پنج تکه سینه باشد ولی نبود,0,42,خواسته بودیم هر پنج تکه سینه باشد ولی نبود
خیلی خوشمزه بود. ممنون از شما,1,29,خیلی خوشمزه بود ممنون از شما
سلام ماست پروبیوتیک که در فاکتور لحاظ شده ارسال نشده,0,52,سلام ماست پروبیوتیک که در فاکتور لحاظ شده ارسال نشده
پیتزا کاملا ایتالیایی و عالی بود سالادم نسبت به قیمت خیلی خوب بود,1,65,پیتزا کاملا ایتالیایی و عالی بود سالادم نسبت به قیمت خیلی خوب بود
سلام با تشکر پاستا عالی بود و داغ رسید,1,38,سلام با تشکر پاستا عالی بود و داغ رسید
فوق‌العاده خشک و بد,0,19,فوقالعاده خشک و بد
خود پیتزا خوب بود ولی مرغ روی پیتزا خیلی بدمزه بود,1,50,خود پیتزا خوب بود ولی مرغ روی پیتزا خیلی بدمزه بود
خیلی خوشمزه بود و چسبید ممنونم,1,30,خیلی خوشمزه بود و چسبید ممنونم
تاخیر خیلی خیلی زیاد در ارسال. تا گزینه تاخیر در ارسال رو نزدم پیک راه نیافتاد. جالبه که تا تو برنامه زدم هنوز سفارش به دستم نرسیده پیام آمد که پیک را افتاده. غذا نبود که یکساعت طولش دادن,0,187,تاخیر خیلی خیلی زیاد در ارسال تا گزینه تاخیر در ارسال رو نزدم پیک راه نیافتاد جالبه که تا تو برنامه زدم هنوز سفارش به دستم نرسیده پیام آمد که پیک را افتاده غذا نبود که یکساعت طولش دادن
کیفیت کباب اصلا خوب نبود خیلی ضخیم و خام بود,0,44,کیفیت کباب اصلا خوب نبود خیلی ضخیم و خام بود
ممنون از ارسال سریع و دقیقتون,1,29,ممنون از ارسال سریع و دقیقتون
ما کباب ترکی مخلوط سفارش دادیم ولی فقط گوشت توش بود، سیب‌زمینی کاملا مونده و بیات بود، واسه‌ی پرس دو نفره فقط یدونه نون گذاشته بودید، مخلفات کنار کباب ترکی هم خیلی کم بود و برلی یک نفر هم ناکافی بود. واقعا کیفیت پایین بود.,0,222,ما کباب ترکی مخلوط سفارش دادیم ولی فقط گوشت توش بود سیبزمینی کاملا مونده و بیات بود واسهی پرس دو نفره فقط یدونه نون گذاشته بودید مخلفات کنار کباب ترکی هم خیلی کم بود و برلی یک نفر هم ناکافی بود واقعا کیفیت پایین بود
ممنون که حتی سفارش‌های کم‌رو هم سریع ارسال می‌کنید واقعا جای تشکر و قدردانی داره,1,80,ممنون که حتی سفارشهای کمرو هم سریع ارسال میکنید واقعا جای تشکر و قدردانی داره
خیلی خوشمزه با کیفیت و به موقع رسید. سپاس,1,41,خیلی خوشمزه با کیفیت و به موقع رسید سپاس
با اینکه نوشته بودم نان برشته باشد ولی نان به صورت خمیر و نامطابق با خواست اینجانب تحویل گردید با اینکه دفعه اول کاملا مطابق خواست اینجانب تحویل‌شده بود. امیدوارم که همیشه مطابق خواست مشتری انجام شود.,0,200,با اینکه نوشته بودم نان برشته باشد ولی نان به صورت خمیر و نامطابق با خواست اینجانب تحویل گردید با اینکه دفعه اول کاملا مطابق خواست اینجانب تحویلشده بود امیدوارم که همیشه مطابق خواست مشتری انجام شود
این برای چندمین بار هست که این مشکل رو به اسنپ فود اطلاع می‌دهم، به پیک‌های ارسال سفارش متذکر شود، وقتی مشتری هزینه پیک میده وظیفه داره که سفارش رو درب منزل بده متاسفم، اگه براشون سخت هست قبول ند,1,195,این برای چندمین بار هست که این مشکل رو به اسنپ فود اطلاع میدهم به پیکهای ارسال سفارش متذکر شود وقتی مشتری هزینه پیک میده وظیفه داره که سفارش رو درب منزل بده متاسفم اگه براشون سخت هست قبول ند
قبض چاپی نیاورده بود و کیفیت جوجه بسیار خوب ولی زرشک پلو با مرغ جای کار دارشت امیدوارم اصلاح کنند.,1,98,قبض چاپی نیاورده بود و کیفیت جوجه بسیار خوب ولی زرشک پلو با مرغ جای کار دارشت امیدوارم اصلاح کنند
سلام. طعم شیرینی‌ها خوب بود. ولی هم شیرینی خشک و هم شیرینی‌تر تنوعی که در عکس بود را نداشتند. شیرینی آلمانی که فقط یک مدل بود و شیرینی‌تر فقط سه مدل از شش مدل شیرینی عکی بود.,1,174,سلام طعم شیرینیها خوب بود ولی هم شیرینی خشک و هم شیرینیتر تنوعی که در عکس بود را نداشتند شیرینی آلمانی که فقط یک مدل بود و شیرینیتر فقط سه مدل از شش مدل شیرینی عکی بود
اصلا خوشمزه نبود، من از مشتریهای پروپاقرص پیتزا سیب هستم اما ایندفعه خیلی بد بود، خام بود. هم پیاز هم خمیرش خوب نپخته بود مزه خوبی نمی‌داد.,0,139,اصلا خوشمزه نبود من از مشتریهای پروپاقرص پیتزا سیب هستم اما ایندفعه خیلی بد بود خام بود هم پیاز هم خمیرش خوب نپخته بود مزه خوبی نمیداد
یه کم دیر به دستم رسید اما راضی بودم و مثل همیشه عالی,1,53,یه کم دیر به دستم رسید اما راضی بودم و مثل همیشه عالی
شیر إرسالی فقط یک روز از اعتبارش باقی مونده و بستنی بیسکوییتی وانیلی بدون. هماهنگی به بستنی زعفرانی تغییر کرده بود.,0,115,شیر إرسالی فقط یک روز از اعتبارش باقی مونده و بستنی بیسکوییتی وانیلی بدون هماهنگی به بستنی زعفرانی تغییر کرده بود
عالی بود!! خیلی تازه و خوشمزه! ممنونم ازتون,1,43,عالی بود خیلی تازه و خوشمزه ممنونم ازتون
من غذامو دیر وقت سفارش دادم ازینکه فعال بودید و به موقع غذام به دستم رسید ممنونم کیفیتش عالی سیب بهترینه همیشه,0,110,من غذامو دیر وقت سفارش دادم ازینکه فعال بودید و به موقع غذام به دستم رسید ممنونم کیفیتش عالی سیب بهترینه همیشه
