comment,label,comment_length,comment_cleaned
همه چیز عالی بود فقط سرد سرد سرد رسید,0,37,همه چیز عالی بود فقط سرد سرد سرد رسید
آقا حس می‌کنم مشتریتون شدم … خیلی عالی بود همچی …دمتون گرم,1,58,آقا حس میکنم مشتریتون شدم  خیلی عالی بود همچی دمتون گرم
خیلی راضی‌نبودم، با اینکه مسیر کوتاه بود ولی تا بیارن خیلی طول کشید,0,67,خیلی راضینبودم با اینکه مسیر کوتاه بود ولی تا بیارن خیلی طول کشید
با سلام، متاسفانه سفارش خیلی دیر بدستمان رسید وبه همین دلیل نان خامه ای‌ها در آفتاب داغ شده بودوپیک گفت که فروشگاه دیر تحویل داد,0,128,با سلام متاسفانه سفارش خیلی دیر بدستمان رسید وبه همین دلیل نان خامه ایها در آفتاب داغ شده بودوپیک گفت که فروشگاه دیر تحویل داد
کیک دیگری به جای کیک نان آوران ارسال‌شده است آدامس ثبت‌شده در سفارش ارسال نشده است ممنون میشم سریعتر پیگیری شود,0,111,کیک دیگری به جای کیک نان آوران ارسالشده است آدامس ثبتشده در سفارش ارسال نشده است ممنون میشم سریعتر پیگیری شود
خیلی عالی و ترد و خوشمزه، ممنون امیدوارم که همیشه کیفیت تون به همین خوبی باشه.,1,78,خیلی عالی و ترد و خوشمزه ممنون امیدوارم که همیشه کیفیت تون به همین خوبی باشه
با سلام، علی‌رغم اینکه یکی از اقلام سفارش داده‌شده در فاکتور ارسالی تیک خورده بود، فرستاده نشده بود و دارای کسری بود.,0,117,با سلام علیرغم اینکه یکی از اقلام سفارش دادهشده در فاکتور ارسالی تیک خورده بود فرستاده نشده بود و دارای کسری بود
شیرینی‌ها ک عالی و تازه بودن فقط به یکم بهم ریخته بودن. اسنپ قبلی شیرینی هارو باز کردن چک‌کردن. ممنونم,1,102,شیرینیها ک عالی و تازه بودن فقط به یکم بهم ریخته بودن اسنپ قبلی شیرینی هارو باز کردن چککردن ممنونم
نان باگت بیات شده و کاهو‌های تلخ: هزار بار توصیه کردیم غذای مونده نفرستید,0,73,نان باگت بیات شده و کاهوهای تلخ هزار بار توصیه کردیم غذای مونده نفرستید
خیلی بد بود نون رو برش داده بودن همینطوری کاهو گوجه ریخته بودن توش اصلا خمیر نون رو نکنده بودن اصلا پیشنهاد نمی‌کنم,0,115,خیلی بد بود نون رو برش داده بودن همینطوری کاهو گوجه ریخته بودن توش اصلا خمیر نون رو نکنده بودن اصلا پیشنهاد نمیکنم
