comment,label,comment_length,comment_cleaned
واقعا حیف وقت که بنویسم سرویس دهیتون شده افتضاح,0,47,واقعا حیف وقت که بنویسم سرویس دهیتون شده افتضاح
قرار بود ۱ ساعته برسه ولی نیم ساعت زودتر از موقع رسید، شما ببین چقدر پلاک خفنهه، من سالهاست مشتریشونم و سالهاست مزه بهشت میده غذاشون,1,132,قرار بود  ساعته برسه ولی نیم ساعت زودتر از موقع رسید شما ببین چقدر پلاک خفنهه من سالهاست مشتریشونم و سالهاست مزه بهشت میده غذاشون
قیمت این مدل اصلا با کیفیتش سازگاری نداره، فقط ظاهر فریبنده داره، پرش میکنن کالباس و قارچ,0,89,قیمت این مدل اصلا با کیفیتش سازگاری نداره فقط ظاهر فریبنده داره پرش میکنن کالباس و قارچ
عالی بود همه چه درست و به اندازه و کیفیت خوب، امیداورم همیشه کیفیتتون خوب باشه ما مشتری همیشگی بشیم,1,99,عالی بود همه چه درست و به اندازه و کیفیت خوب امیداورم همیشه کیفیتتون خوب باشه ما مشتری همیشگی بشیم
شیرینی وانیلی فقط یک مدل بود.,1,29,شیرینی وانیلی فقط یک مدل بود
بدترین پیتزایی که تا به حال خورده بودم,0,38,بدترین پیتزایی که تا به حال خورده بودم
از همه لحاظ عالی ممنونم,1,23,از همه لحاظ عالی ممنونم
کیفیت غذا متوسط رو به پایین بود انگار داخل یه رستوران معمولی غذا خوردی درحالی‌که امتیاز رستوران در اسنپ فود ۴ ٫ ۳ بود,0,117,کیفیت غذا متوسط رو به پایین بود انگار داخل یه رستوران معمولی غذا خوردی درحالیکه امتیاز رستوران در اسنپ فود    بود
همه اقلام تازه و به‌روز وخیلی سریع بدستم رسید واقعا متشکرم,1,58,همه اقلام تازه و بهروز وخیلی سریع بدستم رسید واقعا متشکرم
همه چی خوب ولی هات داگ دورش کلا سوخته بود و داخلش خام بود!!!!,0,61,همه چی خوب ولی هات داگ دورش کلا سوخته بود و داخلش خام بود
اکلر فوق‌العاده بود اما بافت چیزکیک مونده بود و دوست نداشتم.,1,60,اکلر فوقالعاده بود اما بافت چیزکیک مونده بود و دوست نداشتم
خوب بود و از رستوران غنچه و اسنپ فود تشکر می‌کنم,1,48,خوب بود و از رستوران غنچه و اسنپ فود تشکر میکنم
مثل همیشه عالی هستی پرپروک جان مچکریم ازت,1,41,مثل همیشه عالی هستی پرپروک جان مچکریم ازت
Kheili khub bud mersi vaghan,1,28,Kheili khub bud mersi vaghan
عکس با شیریبی که ارسال کردند فرق داشت و خیلی نامرتب و خورد شده بود. اصلا پیشنهاد نمی‌کنم,0,88,عکس با شیریبی که ارسال کردند فرق داشت و خیلی نامرتب و خورد شده بود اصلا پیشنهاد نمیکنم
سریع سفارش بدستم رسید ممنونم اسنپ فود,1,37,سریع سفارش بدستم رسید ممنونم اسنپ فود
خیلی عالی بود خیلی هم زود رسید خوشمزه,1,37,خیلی عالی بود خیلی هم زود رسید خوشمزه
هات داگ یکم خام بود. حجمش خوب بود,1,33,هات داگ یکم خام بود حجمش خوب بود
ممنون که به صلاحدید هودتون سفارش رو تغییر دادید.,0,48,ممنون که به صلاحدید هودتون سفارش رو تغییر دادید
پیتزا سرد و خیلی خیلی بدمزه بود و میگوتون افتضاح بویه بد میداذ، سیبزمینیا افتضاح بودن واقعا از بوکا انتظاره بیشتری میره بعده اینهمه سال.. دیگه ازتون غذا نمی‌گیرم مطمئنم,0,168,پیتزا سرد و خیلی خیلی بدمزه بود و میگوتون افتضاح بویه بد میداذ سیبزمینیا افتضاح بودن واقعا از بوکا انتظاره بیشتری میره بعده اینهمه سال دیگه ازتون غذا نمیگیرم مطمئنم
هزار پول ساندویچ شد، ولی بیشترش قارچ بود,0,40,هزار پول ساندویچ شد ولی بیشترش قارچ بود
سفارش من رانی آناناس بود ولی مغازه سانی نس آناناس ارسال کرده,0,60,سفارش من رانی آناناس بود ولی مغازه سانی نس آناناس ارسال کرده
سلام. خیلی عالیه. متشکرم. همیشه در کارتان موفق باشید,1,52,سلام خیلی عالیه متشکرم همیشه در کارتان موفق باشید
سفارش پس از تاخیر بسیار طولانی رسید و متاسفانه بستنی‌ها آب شده بودند.,0,69,سفارش پس از تاخیر بسیار طولانی رسید و متاسفانه بستنیها آب شده بودند
